,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,1.3156046867370605,0.020894895394540845,0.010842609405517577,0.0014044964005263797,0.01,7,300,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 0.5}",0.5,0.48936170212765956,0.36363636363636365,0.41304347826086957,0.5217391304347826,0.4575561348919351,0.05955641483904985,37
25,1.5181832790374756,0.07223714988096834,0.014263677597045898,0.005754578040249192,0.01,7,300,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 1.0}",0.5,0.5142857142857142,0.4074074074074074,0.4,0.5,0.46433862433862433,0.04983733794127071,33
26,1.784571933746338,0.36696639540031445,0.02525753974914551,0.026872649846768987,0.01,7,300,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 7, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 'auto'}",0.5,0.5142857142857142,0.4074074074074074,0.4,0.5,0.46433862433862433,0.04983733794127071,33
27,0.3677204132080078,0.43396543859127645,0.005591773986816406,0.0016101258413672582,0.05,3,100,0.5,"{'lgbm__learning_rate': 0.05, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 0.5}",0.43478260869565216,0.5137614678899083,0.39622641509433965,0.3559322033898305,0.48148148148148145,0.43643683531024235,0.05676042472100671,52
28,0.18079895973205568,0.007888821099389527,0.006059980392456055,0.002317937564489716,0.05,3,100,1.0,"{'lgbm__learning_rate': 0.05, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 1.0}",0.4153846153846154,0.4057971014492754,0.37037037037037035,0.3546099290780142,0.4090909090909091,0.39105058507463697,0.024044337198622374,72
29,0.1743612766265869,0.0036559586150501254,0.00520792007446289,0.0019802662342556575,0.05,3,100,auto,"{'lgbm__learning_rate': 0.05, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 'auto'}",0.4153846153846154,0.4057971014492754,0.37037037037037035,0.3546099290780142,0.4090909090909091,0.39105058507463697,0.024044337198622374,72
30,0.2217264175415039,0.0024714909620824413,0.008669614791870117,0.0011707767315582,0.05,3,200,0.5,"{'lgbm__learning_rate': 0.05, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 0.5}",0.45569620253164556,0.48,0.3695652173913043,0.36893203883495146,0.4897959183673469,0.43279787542504966,0.053062915436842446,54
31,0.26433186531066893,0.014195983061931667,0.006938314437866211,0.000637976035493236,0.05,3,200,1.0,"{'lgbm__learning_rate': 0.05, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 1.0}",0.42990654205607476,0.4827586206896552,0.35714285714285715,0.358974358974359,0.42105263157894735,0.40996700208837866,0.047349205093429964,68
32,0.2619613170623779,0.009224129515638172,0.007651758193969726,0.0014099541916259108,0.05,3,200,auto,"{'lgbm__learning_rate': 0.05, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 'auto'}",0.42990654205607476,0.4827586206896552,0.35714285714285715,0.358974358974359,0.42105263157894735,0.40996700208837866,0.047349205093429964,68
33,0.30671067237854005,0.021341801819225032,0.0077990531921386715,0.0025716486407294952,0.05,3,300,0.5,"{'lgbm__learning_rate': 0.05, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 0.5}",0.4594594594594595,0.5057471264367817,0.38202247191011235,0.3655913978494624,0.46153846153846156,0.4348717834388555,0.05278598551606858,53
