,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,0.5702247619628906,0.02210204141375804,0.007563114166259766,0.0018189824705097156,0.5,0.5,10,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 10, 'xgb__n_estimators': 50}",0.5625,0.5,0.37681159420289856,0.40963855421686746,0.4533333333333333,0.46045669635061987,0.06573619652382044,44
25,0.7173472881317139,0.02858166520600609,0.007947969436645507,0.0006211965657285798,0.5,0.5,10,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 10, 'xgb__n_estimators': 100}",0.5714285714285714,0.48,0.3888888888888889,0.4235294117647059,0.4533333333333333,0.4634360410830999,0.061949387427347645,41
26,0.9182613849639892,0.022512908434944707,0.007030105590820313,0.0023011469484785175,0.5,0.5,10,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 10, 'xgb__n_estimators': 200}",0.5806451612903226,0.48,0.417910447761194,0.4146341463414634,0.4533333333333333,0.46930461774526255,0.06065708683429506,36
27,0.22937140464782715,0.005887725036242534,0.00551447868347168,0.0015264017997307115,1.0,0.1,3,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.421875,0.4264705882352941,0.35036496350364965,0.34965034965034963,0.42424242424242425,0.39452066512634354,0.03637447287510819,80
28,0.3693080902099609,0.004549543544786231,0.005682611465454101,0.0008463266996675385,1.0,0.1,3,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.46296296296296297,0.4827586206896552,0.3669724770642202,0.3559322033898305,0.4482758620689655,0.4233804252351268,0.05185257835537862,76
29,0.6567736625671386,0.010541195993903666,0.006358051300048828,0.001941368131936389,1.0,0.1,3,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.47619047619047616,0.4948453608247423,0.3958333333333333,0.38,0.46938775510204084,0.4432513850901185,0.04621523826672399,59
30,0.4183241844177246,0.005206001302567557,0.007055473327636719,0.0021315381625383045,1.0,0.1,5,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.4375,0.5,0.3853211009174312,0.4036697247706422,0.4423076923076923,0.4337597035991531,0.039310405368191005,69
31,0.7252197742462159,0.011258815242157326,0.007304573059082031,0.0017350772071163306,1.0,0.1,5,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.4864864864864865,0.5111111111111111,0.41304347826086957,0.43478260869565216,0.4835164835164835,0.4657880336141205,0.03616691785274298,38
32,1.2959686279296876,0.0186044255244591,0.007710552215576172,0.002642113173763892,1.0,0.1,5,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200}",0.47058823529411764,0.525,0.46153846153846156,0.41975308641975306,0.5063291139240507,0.47664177943527664,0.03666315405529231,32
33,1.3380147457122802,0.06377894703101754,0.00845942497253418,0.0018458711460290914,1.0,0.1,10,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 50}",0.5205479452054794,0.5161290322580645,0.391304347826087,0.44680851063829785,0.5274725274725275,0.48045247268009117,0.053236554584032404,25
34,1.8772706031799316,0.05513535597810992,0.007663726806640625,0.0017181537661048643,1.0,0.1,10,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 100}",0.5428571428571428,0.5287356321839081,0.4,0.449438202247191,0.5111111111111111,0.4864284176798705,0.053705649981441554,10
35,2.4332674026489256,0.04654027108444823,0.009076356887817383,0.0006233755471161936,1.0,0.1,10,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 200}",0.5538461538461539,0.5185185185185185,0.4050632911392405,0.43373493975903615,0.5116279069767442,0.4845581620479386,0.055837867319887435,16
36,0.21950092315673828,0.006920451514407076,0.005820560455322266,0.0018420018798126633,1.0,0.3,3,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.4835164835164835,0.5473684210526316,0.33663366336633666,0.37735849056603776,0.41904761904761906,0.4327849355098217,0.07511183251631011,71
37,0.367856502532959,0.006143007580982624,0.007630777359008789,0.0018765636833699615,1.0,0.3,3,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.5,0.5238095238095238,0.3488372093023256,0.425531914893617,0.4772727272727273,0.45509027505563876,0.0622811213253031,48
38,0.7126193046569824,0.010183280375807928,0.007457637786865234,0.0025923096686944324,1.0,0.3,3,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.463768115942029,0.5185185185185185,0.34210526315789475,0.40476190476190477,0.5194805194805194,0.4497268643721732,0.06840946932624274,55
39,0.39417643547058107,0.006392746604894089,0.0068359375,0.0017352057866000339,1.0,0.3,5,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.5352112676056338,0.5227272727272727,0.4,0.4666666666666667,0.5348837209302325,0.49189778558596114,0.05245210767359028,5
40,0.6498243331909179,0.01090024532150045,0.007080602645874024,0.0016841571932872128,1.0,0.3,5,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.5294117647058824,0.5,0.38961038961038963,0.4691358024691358,0.5121951219512195,0.4800706157473254,0.049328158064658616,28
41,0.9813780307769775,0.018812096786766517,0.006721019744873047,0.0018926169950294865,1.0,0.3,5,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 200}",0.5294117647058824,0.48,0.3561643835616438,0.45569620253164556,0.5569620253164557,0.4756468752231255,0.06956416006191049,34
42,0.8403028011322021,0.01689748610571669,0.008413934707641601,0.0005293372407408351,1.0,0.3,10,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 10, 'xgb__n_estimators': 50}",0.5294117647058824,0.49382716049382713,0.43037974683544306,0.40860215053763443,0.5238095238095238,0.47720606927646214,0.04913813065759516,30
43,1.0801856517791748,0.049946527906696674,0.007473468780517578,0.001662105045027285,1.0,0.3,10,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 10, 'xgb__n_estimators': 100}",0.5538461538461539,0.5,0.4266666666666667,0.4,0.5238095238095238,0.4808644688644689,0.05833221533019867,23
44,1.3462457180023193,0.02874528495458259,0.0070321083068847655,0.0012603363778183807,1.0,0.3,10,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 10, 'xgb__n_estimators': 200}",0.5625,0.4935064935064935,0.4383561643835616,0.4,0.5301204819277109,0.48489662796355315,0.05918625227751564,13
45,0.22051606178283692,0.005013038953773794,0.006187868118286133,0.001347771513313694,1.0,0.5,3,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.4473684210526316,0.43010752688172044,0.3695652173913043,0.3956043956043956,0.47191011235955055,0.4229111346579205,0.03644802222724983,78
46,0.395809268951416,0.0046743788755248365,0.008167457580566407,0.0010412345440123977,1.0,0.5,3,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.4507042253521127,0.4,0.37142857142857144,0.43373493975903615,0.5066666666666667,0.4325068806412774,0.04608596856389671,73
47,0.7422772407531738,0.018247910760838423,0.007183742523193359,0.0007165350027892005,1.0,0.5,3,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.48484848484848486,0.4383561643835616,0.39436619718309857,0.4155844155844156,0.4358974358974359,0.43381053957939936,0.03005973200595691,67
48,0.3814042091369629,0.02211099360932093,0.005953216552734375,0.001659883904831578,1.0,0.5,5,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.45454545454545453,0.48,0.45569620253164556,0.38961038961038963,0.4634146341463415,0.4486533361667663,0.03088979707021963,57
49,0.5553564071655274,0.011355021374238057,0.006963014602661133,0.0015346714253793264,1.0,0.5,5,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.47619047619047616,0.4533333333333333,0.4533333333333333,0.39473684210526316,0.4810126582278481,0.45172132863805076,0.030689248914762254,52
50,0.8327488422393798,0.026026055419637047,0.007768678665161133,0.0007382812821922235,1.0,0.5,5,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 5, 'xgb__n_estimators': 200}",0.4444444444444444,0.4383561643835616,0.4266666666666667,0.41025641025641024,0.4691358024691358,0.4377718976440438,0.019539636514243498,63
51,0.6620233535766602,0.017535889218142055,0.006881618499755859,0.0010916368002264355,1.0,0.5,10,50,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 10, 'xgb__n_estimators': 50}",0.5588235294117647,0.5057471264367817,0.42857142857142855,0.449438202247191,0.5384615384615384,0.49620836502574084,0.050118221726230226,3
52,0.8299339294433594,0.034111086026765616,0.006138324737548828,0.0014597105648740869,1.0,0.5,10,100,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 10, 'xgb__n_estimators': 100}",0.5373134328358209,0.5227272727272727,0.3950617283950617,0.4418604651162791,0.5555555555555556,0.490503690925998,0.06154118601795371,7
53,1.0823853015899658,0.01994239608789401,0.0071903705596923825,0.0010967319902972208,1.0,0.5,10,200,"{'smote__sampling_strategy': 1.0, 'xgb__learning_rate': 0.5, 'xgb__max_depth': 10, 'xgb__n_estimators': 200}",0.5373134328358209,0.5287356321839081,0.3950617283950617,0.41379310344827586,0.5333333333333333,0.48164744603928,0.06338569020562772,20
54,0.2311577320098877,0.021131832683661735,0.007010078430175782,0.0014863217116541521,auto,0.1,3,50,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.421875,0.4264705882352941,0.35036496350364965,0.34965034965034963,0.42424242424242425,0.39452066512634354,0.03637447287510819,80
55,0.3651883125305176,0.0049001736340417565,0.00820159912109375,0.0009998290104836643,auto,0.1,3,100,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.46296296296296297,0.4827586206896552,0.3669724770642202,0.3559322033898305,0.4482758620689655,0.4233804252351268,0.05185257835537862,76
56,0.6483381748199463,0.006135610252353528,0.00930929183959961,0.0013972850544172384,auto,0.1,3,200,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.47619047619047616,0.4948453608247423,0.3958333333333333,0.38,0.46938775510204084,0.4432513850901185,0.04621523826672399,59
57,0.4185549259185791,0.006330498216304321,0.0051726818084716795,0.0016983190461965637,auto,0.1,5,50,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.4375,0.5,0.3853211009174312,0.4036697247706422,0.4423076923076923,0.4337597035991531,0.039310405368191005,69
